rows, columns, time to find success result, number of failures
7,7,0.029881954193115234,372
7,7,0.003609895706176758,24
7,7,0.0020241737365722656,17
7,7,0.11544394493103027,1305
7,7,0.06603860855102539,838
7,7,0.0062236785888671875,67
7,7,0.03574061393737793,460
7,7,0.021070480346679688,253
7,7,0.057457685470581055,658
7,7,0.02258753776550293,209
7,7,0.018508195877075195,227
7,7,0.016045093536376953,186
7,7,0.05703139305114746,698
7,7,0.020169734954833984,234
7,7,0.006642580032348633,59
7,7,0.03470444679260254,404
7,7,0.0017499923706054688,7
7,7,0.07600092887878418,781
7,7,0.04013705253601074,500
7,7,0.0024619102478027344,19
7,7,0.019617557525634766,245
7,7,0.012293815612792969,147
7,7,0.01589512825012207,187
7,7,0.15645980834960938,1946
7,7,0.009585142135620117,99
7,7,0.009676218032836914,110
7,7,0.04157519340515137,515
7,7,0.049651145935058594,637
7,7,0.035408735275268555,434
7,7,0.08028721809387207,947
7,7,0.026155948638916016,293
7,7,0.026215314865112305,263
7,7,0.026489734649658203,208
7,7,0.02300882339477539,281
7,7,0.17085504531860352,1981
7,7,0.04925847053527832,455
7,7,0.033446311950683594,331
7,7,0.09305357933044434,1133
7,7,0.002166271209716797,13
7,7,0.0008814334869384766,2
7,7,0.046065568923950195,579
7,7,0.016747236251831055,117
7,7,0.1504805088043213,1828
7,7,0.04873394966125488,609
7,7,0.03978848457336426,502
7,7,0.004721641540527344,44
7,7,0.05204916000366211,632
7,7,0.030607223510742188,381
7,7,0.005768299102783203,62
7,7,0.068023681640625,864
7,7,0.031410932540893555,387
7,7,0.03677511215209961,456
7,7,0.016638755798339844,190
7,7,0.04726290702819824,531
7,7,0.007643699645996094,85
7,7,0.05549740791320801,534
7,7,0.010451078414916992,112
7,7,0.009941816329956055,115
7,7,0.15560150146484375,1746
7,7,0.011071443557739258,131
7,7,0.022834062576293945,214
7,7,0.025238513946533203,232
7,7,0.11315059661865234,1351
7,7,0.007317304611206055,80
7,7,0.006993770599365234,77
7,7,0.006742238998413086,74
7,7,0.0038123130798339844,34
8,8,0.41520261764526367,4294
8,8,0.011647224426269531,118
8,8,0.17553019523620605,1902
8,8,0.1262667179107666,1207
8,8,2.6594367027282715,25235
8,8,0.03565645217895508,315
8,8,1.2284090518951416,12533
8,8,0.37104034423828125,3716
8,8,0.07589864730834961,830
8,8,0.2898736000061035,2979
8,8,1.1811254024505615,11921
8,8,0.5123696327209473,5485
8,8,0.2218337059020996,2168
8,8,0.34328126907348633,3451
8,8,0.6702878475189209,6970
8,8,0.6921617984771729,7330
8,8,0.42475295066833496,4370
8,8,0.059148311614990234,640
8,8,1.7966365814208984,18572
8,8,0.36684727668762207,3597
8,8,0.13164615631103516,1353
8,8,1.7900867462158203,17855
8,8,0.20229697227478027,1981
8,8,0.4166109561920166,4034
8,8,0.45600152015686035,4942
8,8,0.26567959785461426,2850
8,8,0.3067820072174072,3196
8,8,0.0061223506927490234,51
8,8,0.17395329475402832,1910
8,8,2.023409366607666,20974
8,8,0.19497442245483398,1853
8,8,0.16314435005187988,1675
8,8,0.6148946285247803,6257
8,8,0.08940005302429199,929
8,8,0.2862212657928467,2868
